stop_id,average travel time 
70002,131.779
70004,237.5932
70006,365.253
70008,470.4614
70010,578.6783
70012,728.5454
70014,913.5713
70016,1153.8593
70018,1248.7708
70020,1329.8695
70022,1413.5227
70024,1542.0252
70026,1648.1608
70028,1787.3046
70030,1940.3715
70032,2180.8679
70034,2440.6917
70036,2574.6492
70278,2055.0396
