service_date,from_stop_id,to_stop_id,route_id,direction_id,start_time_sec,end_time_sec,travel_time_sec
10/7/21,70016,70001,Orange,0,88931,89966,1035
10/7/21,70018,70001,Orange,0,88848,89966,1118
10/7/21,70020,70001,Orange,0,88772,89966,1194
10/7/21,70022,70001,Orange,0,88669,89966,1297
10/7/21,70024,70001,Orange,0,88567,89966,1399
10/7/21,70026,70001,Orange,0,88410,89966,1556
10/7/21,70028,70001,Orange,0,88301,89966,1665
10/7/21,70030,70001,Orange,0,88162,89966,1804
10/7/21,70032,70001,Orange,0,87950,89966,2016
10/7/21,70034,70001,Orange,0,87726,89966,2240
10/7/21,70036,70001,Orange,0,87579,89966,2387
